0.9342 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
701.8562 	DATA 	Keypress: t
703.3553 	DATA 	Keypress: t
704.8711 	DATA 	Keypress: t
706.3573 	DATA 	Keypress: t
707.8562 	DATA 	Keypress: t
709.3560 	DATA 	Keypress: t
710.8705 	DATA 	Keypress: t
712.3551 	DATA 	Keypress: t
713.8560 	DATA 	Keypress: t
715.3630 	DATA 	Keypress: t
716.8555 	DATA 	Keypress: t
718.3639 	DATA 	Keypress: t
741.7415 	DATA 	Keypress: return
741.7518 	EXP 	Fixation_horz: autoDraw = False
741.7518 	EXP 	Fixation_vert: autoDraw = False
741.7518 	EXP 	Done_text: autoDraw = True
745.2868 	DATA 	Keypress: return
745.2994 	EXP 	Done_text: autoDraw = False
745.3002 	INFO 	saved data to 'C:\\Users\\Public\\Moore_fMRI\\DSP_PsychoPy\\data/12003_DSP_Resting_State.csv'
745.3013 	INFO 	saved data to C:\Users\Public\Moore_fMRI\DSP_PsychoPy\data/12003_DSP_Resting_State.psydat
745.3172 	EXP 	window1: mouseVisible = True
745.3173 	DEBUG 	Saving data for DSP_Resting_State ExperimentHandler
