ParticipantNo: 12218
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_02
!!1_dsp2_02
5.95:  157.6846,137.1232,251.0082,box 7,6
5.97:  157.4368,137.0642,251.0082,box 7,6
5.98:  157.1936,137.0063,251.0082,box 7,6
6:  156.9506,136.9485,251.0082,box 7,6
6.02:  156.7036,136.8897,251.0082,box 7,6
6.03:  156.4575,136.8311,251.0082,box 7,6
6.05:  156.2167,136.7737,251.0082,box 7,6
6.07:  155.968,136.7145,251.0082,box 7,6
6.08:  155.7275,136.6573,251.0082,box 7,6
6.1:  155.4672,136.5953,251.0082,box 7,6
6.12:  155.2379,136.5407,251.0082,box 7,6
6.13:  154.997,136.4833,251.0082,box 7,6
6.15:  154.754,136.4255,251.0082,box 7,6
6.17:  154.5042,136.366,251.0082,box 7,6
6.18:  154.2636,136.3087,251.0082,box 7,6
6.2:  154.0195,136.2581,251.0082,box 7,6
6.22:  153.7641,136.2177,251.0082,box 7,6
6.23:  153.5089,136.1871,251.0082,box 7,6
6.25:  153.2551,136.1663,251.0082,box 7,6
6.27:  152.9929,136.152,251.0082,box 7,6
6.28:  152.7325,136.1378,251.0082,box 7,6
6.3:  152.4526,136.1226,251.0082,box 7,6
6.32:  152.2131,136.1095,251.0082,box 7,6
6.33:  151.9538,136.0954,251.0082,box 7,6
6.35:  151.6901,136.0928,251.0082,box 7,6
6.37:  151.424,136.0949,251.0082,box 7,6
6.38:  151.1608,136.0969,251.0082,box 7,6
6.4:  150.8925,136.099,251.0082,box 7,6
6.42:  150.631,136.1011,251.0082,box 7,6
6.43:  150.3652,136.1032,251.0082,box 7,6
6.45:  150.1018,136.1052,251.0082,box 7,6
6.47:  149.814,136.1075,251.0082,box 7,6
6.48:  149.5676,136.1094,251.0082,box 7,6
6.5:  149.2866,136.1116,251.0082,box 7,6
6.52:  149.0392,136.1135,251.0082,box 7,6
6.53:  148.7728,136.1156,251.0082,box 7,6
6.55:  148.5086,136.12,251.0082,box 7,6
6.57:  148.242,136.1221,251.0082,box 7,6
6.58:  147.9793,136.1241,251.0082,box 7,6
6.6:  147.7135,136.1262,251.0082,box 7,6
6.62:  147.4232,136.1285,251.0082,box 7,6
6.63:  147.1653,136.1327,251.0082,box 7,6
6.65:  146.9055,136.1348,251.0082,box 7,6
6.67:  146.6491,136.1368,251.0082,box 7,6
6.68:  146.3914,136.141,251.0082,box 7,6
6.7:  146.1245,136.1431,251.0082,box 7,6
6.72:  145.8541,136.1476,251.0082,box 7,6
6.73:  145.5893,136.1497,251.0082,box 7,6
6.75:  145.3041,136.1519,251.0082,box 7,6
6.77:  145.0599,136.1538,251.0082,box 6,6
6.78:  144.795,136.1559,251.0082,box 6,6
6.8:  144.5307,136.1602,251.0082,box 6,6
6.82:  144.2615,136.1624,251.0082,box 6,6
6.83:  143.9989,136.1644,251.0082,box 6,6
6.85:  143.7337,136.1665,251.0082,box 6,6
6.87:  143.4668,136.1686,251.0082,box 6,6
6.88:  143.2024,136.1706,251.0082,box 6,6
6.9:  142.9396,136.175,251.0082,box 6,6
6.92:  142.6708,136.1771,251.0082,box 6,6
6.93:  142.406,136.1815,251.0082,box 6,6
6.95:  142.1443,136.1835,251.0082,box 6,6
6.97:  141.8757,136.1856,251.0082,box 6,6
6.98:  141.6089,136.19,251.0082,box 6,6
7:  141.3482,136.192,251.0082,box 6,6
7.02:  141.0786,136.1965,251.0082,box 6,6
7.03:  140.8118,136.2009,251.0082,box 6,6
7.05:  140.5457,136.2053,251.0082,box 6,6
7.07:  140.28,136.2074,251.0082,box 6,6
7.08:  140.0152,136.2117,251.0082,box 6,6
7.1:  139.7479,136.2162,251.0082,box 6,6
7.12:  139.4856,136.2205,251.0082,box 6,6
7.13:  139.2215,136.2249,251.0082,box 6,6
7.15:  138.9569,136.2269,251.0082,box 6,6
7.17:  138.6867,136.2314,251.0082,box 6,6
7.18:  138.4274,136.2334,251.0082,box 6,6
7.2:  138.1617,136.2355,251.0082,box 6,6
7.22:  137.8964,136.2376,251.0082,box 6,6
7.23:  137.6249,136.2421,251.0082,box 6,6
7.25:  137.364,136.2464,251.0082,box 6,6
7.27:  137.0932,136.2508,251.0082,box 6,6
7.28:  136.83,136.2529,251.0082,box 6,6
7.3:  136.5447,136.2551,251.0082,box 6,6
7.32:  136.2779,136.2595,251.0082,box 6,6
7.33:  136.0188,136.2638,251.0082,box 6,6
7.35:  135.7603,136.2681,251.0082,box 6,6
7.37:  135.4984,136.2724,251.0082,box 6,6
7.38:  135.2347,136.2745,251.0082,box 6,6
7.4:  134.9725,136.2765,251.0082,box 6,6
7.42:  134.704,136.2786,251.0082,box 6,6
7.43:  134.4414,136.2807,251.0082,box 6,6
7.45:  134.1744,136.2897,251.0082,box 6,6
7.47:  133.9048,136.3056,251.0082,box 6,6
7.48:  133.6333,136.3217,251.0082,box 6,6
7.5:  133.3635,136.34,251.0082,box 6,6
7.52:  133.0892,136.3653,251.0082,box 6,6
7.53:  132.8161,136.3951,251.0082,box 6,6
7.55:  132.5405,136.4294,250.9872,box 6,6
7.57:  132.2566,136.4728,250.8078,box 6,6
7.58:  131.9777,136.5183,250.4952,box 6,6
7.6:  131.6981,136.5616,250.0369,box 6,6
7.62:  131.4138,136.605,249.4709,box 6,6
7.63:  131.1303,136.6449,248.8224,box 6,6
7.65:  130.8489,136.6808,248.0789,box 6,6
7.67:  130.5573,136.714,247.291,box 6,6
7.68:  130.2792,136.7418,246.5032,box 6,6
7.7:  129.9917,136.7665,245.7153,box 6,6
7.72:  129.706,136.7871,244.9274,box 6,6
7.73:  129.4147,136.8041,244.1395,box 6,6
7.75:  129.1483,136.7887,243.3517,box 6,6
7.77:  128.9225,136.6851,242.5638,box 6,6
7.78:  128.6971,136.5641,241.7759,box 6,6
7.8:  128.4805,136.444,240.988,box 6,6
7.82:  128.2629,136.3194,240.2001,box 6,6
7.83:  128.0481,136.1924,239.4123,box 6,6
7.85:  127.8373,136.0638,238.6244,box 6,6
7.87:  127.6083,135.9198,237.8365,box 6,6
7.88:  127.4147,135.7943,237.0486,box 6,6
7.9:  127.2057,135.6548,236.2607,box 6,6
7.92:  126.999,135.5125,235.4729,box 6,6
7.93:  126.7973,135.3697,234.685,box 6,6
7.95:  126.5709,135.2045,233.8971,box 6,6
7.97:  126.3938,135.0716,233.1092,box 6,6
7.98:  126.1954,134.9184,232.3214,box 6,6
8:  125.9987,134.7621,231.5335,box 6,6
8.02:  125.8069,134.6054,230.7456,box 6,6
8.03:  125.6142,134.4435,229.9577,box 6,6
8.05:  125.4228,134.2781,229.1698,box 5,6
8.07:  125.2388,134.1146,228.382,box 5,6
8.08:  125.053,133.9449,227.5941,box 5,6
8.1:  124.8704,133.7735,226.8062,box 5,6
8.12:  124.6915,133.6009,226.0183,box 5,6
8.13:  124.5002,133.4111,225.2304,box 5,6
8.15:  124.34,133.2477,224.4426,box 5,6
8.17:  124.1657,133.0651,223.6547,box 5,6
8.18:  123.9973,132.8836,222.8668,box 5,6
8.2:  123.8328,132.7014,222.0789,box 5,6
8.22:  123.6623,132.5073,221.291,box 5,6
8.23:  123.5023,132.3199,220.5032,box 5,6
8.25:  123.3292,132.1146,220.1336,box 5,6
8.27:  123.1785,131.9359,220.1336,box 5,6
8.28:  123.017,131.7443,220.1336,box 5,6
8.3:  122.8579,131.5557,220.1336,box 5,6
8.32:  122.6951,131.3625,220.1336,box 5,6
8.33:  122.5347,131.1723,220.1336,box 5,6
8.35:  122.3742,130.9819,220.1336,box 5,6
8.37:  122.2115,130.7889,220.1336,box 5,6
8.38:  122.0515,130.5991,220.1336,box 5,6
8.4:  121.8892,130.4067,220.1336,box 5,6
8.42:  121.7289,130.2165,220.1336,box 5,6
8.43:  121.5666,130.024,220.1336,box 5,6
8.45:  121.4089,129.8369,220.1336,box 5,6
8.47:  121.2448,129.6423,220.1336,box 5,6
8.48:  121.0835,129.451,220.1336,box 5,6
8.5:  120.9129,129.2487,220.1336,box 5,6
8.52:  120.7619,129.0695,220.1336,box 5,6
8.53:  120.6006,128.8782,220.1336,box 5,6
8.55:  120.4413,128.6893,220.1336,box 5,6
8.57:  120.2807,128.4987,220.1336,box 5,6
8.58:  120.1164,128.3038,220.1336,box 5,6
8.6:  119.9578,128.1158,220.1336,box 5,6
8.62:  119.7954,127.9231,220.1336,box 5,6
8.63:  119.6334,127.7309,220.1336,box 5,6
8.65:  119.4739,127.5418,220.1336,box 5,6
8.67:  119.3103,127.3477,220.1336,box 5,6
8.68:  119.1513,127.1591,220.1336,box 5,6
8.7:  118.9908,126.9687,220.1336,box 5,6
8.72:  118.8296,126.7776,220.1336,box 5,6
8.73:  118.6662,126.5837,220.1336,box 5,6
8.75:  118.5083,126.3964,220.1336,box 5,6
8.77:  118.3447,126.2024,220.1336,box 5,6
8.78:  118.1834,126.011,220.1336,box 5,6
8.8:  118.0117,125.8074,220.1336,box 5,6
8.82:  117.8607,125.6283,220.1336,box 5,6
8.83:  117.6859,125.4209,220.1336,box 5,6
8.85:  117.5288,125.2346,220.1336,box 5,6
8.87:  117.3743,125.0513,220.1336,box 5,6
8.88:  117.2172,124.865,220.1336,box 5,6
8.9:  117.0565,124.6744,220.1336,box 5,6
8.92:  116.9115,124.4681,220.1336,box 5,6
8.93:  116.7831,124.2468,220.1336,box 5,6
8.95:  116.6709,123.9918,220.1336,box 5,6
8.97:  116.5838,123.7611,220.1336,box 5,6
8.98:  116.5032,123.5019,220.1336,box 5,5
9:  116.4443,123.2305,220.1336,box 5,5
9.02:  116.4009,122.9378,220.1336,box 5,5
9.03:  116.3784,122.6283,220.1336,box 5,5
9.05:  116.3765,122.303,220.1336,box 5,5
9.07:  116.385,121.9767,220.1336,box 5,5
9.08:  116.4039,121.6537,220.1336,box 5,5
9.1:  116.4258,121.3364,220.1336,box 5,5
9.12:  116.4521,121.006,220.1336,box 5,5
9.13:  116.4776,120.6865,220.1336,box 5,5
9.15:  116.503,120.3674,220.1336,box 5,5
9.17:  116.5293,120.0386,220.1336,box 5,5
9.18:  116.5547,119.7199,220.1336,box 5,5
9.2:  116.5804,119.3974,220.1336,box 5,5
9.22:  116.6063,119.0728,220.1336,box 5,5
9.23:  116.6323,118.7465,220.1336,box 5,5
9.25:  116.645,118.4114,220.1336,box 5,5
9.27:  116.6487,118.0839,220.1336,box 5,5
