ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
4.57:  41.15117,90.16945,316.5,box 1,4
4.58:  41.15117,90.16945,318,box 1,4
4.6:  41.15117,90.16945,319.5,box 1,4
4.62:  41.15117,90.16945,321,box 1,4
4.63:  41.15117,90.16945,322.5,box 1,4
4.65:  41.15117,90.16945,324,box 1,4
4.66:  41.15117,90.16945,325.5,box 1,4
4.68:  41.15117,90.16945,327,box 1,4
4.7:  41.15117,90.16945,328.5,box 1,4
4.72:  41.15117,90.16945,330,box 1,4
4.73:  41.15117,90.16945,331.5,box 1,4
4.75:  41.15117,90.16945,333,box 1,4
4.76:  41.15117,90.16945,334.5,box 1,4
4.78:  41.15117,90.16945,336,box 1,4
4.8:  41.15117,90.16945,337.5,box 1,4
4.82:  41.15117,90.16945,339,box 1,4
4.83:  41.15117,90.16945,340.5,box 1,4
4.85:  41.15117,90.16945,342,box 1,4
4.87:  41.15117,90.16945,343.5,box 1,4
4.88:  41.15117,90.16945,345,box 1,4
4.9:  41.15117,90.16945,346.5,box 1,4
4.92:  41.15117,90.16945,348,box 1,4
4.93:  41.15117,90.16945,349.5,box 1,4
4.95:  41.15117,90.16945,351,box 1,4
4.96:  41.15117,90.16945,352.5,box 1,4
4.98:  41.15117,90.16945,354,box 1,4
5:  41.15117,90.16945,355.5,box 1,4
5.01:  41.15117,90.16945,357,box 1,4
5.03:  41.15117,90.16945,358.5,box 1,4
5.05:  41.15117,90.16945,-1.52772E-05,box 1,4
5.07:  41.15117,90.16945,1.499985,box 1,4
5.08:  41.15117,90.16945,2.999985,box 1,4
5.1:  41.15117,90.16945,4.499985,box 1,4
5.12:  41.15117,90.16945,5.999985,box 1,4
5.13:  41.15117,90.16945,7.499986,box 1,4
5.15:  41.15117,90.16945,8.999987,box 1,4
5.17:  41.15117,90.16945,10.49999,box 1,4
5.18:  41.15117,90.16945,11.99999,box 1,4
5.2:  41.15117,90.16945,13.49998,box 1,4
5.22:  41.15117,90.16945,14.99999,box 1,4
5.23:  41.15117,90.16945,16.49999,box 1,4
5.25:  41.15117,90.16945,17.99999,box 1,4
5.27:  41.15117,90.16945,19.49999,box 1,4
5.28:  41.15117,90.16945,20.99999,box 1,4
5.3:  41.15117,90.16945,22.49999,box 1,4
5.32:  41.15117,90.16945,23.99999,box 1,4
5.33:  41.15117,90.16945,25.49999,box 1,4
5.35:  41.15117,90.16945,26.99999,box 1,4
5.37:  41.15117,90.16945,28.49999,box 1,4
