ParticipantNo: 21010
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_11
!!1_dsp2_11
8.2:  72.26251,52.27872,242.2934,box 3,2
8.22:  72.26251,52.27872,242.2934,box 3,2
8.23:  72.26251,52.27872,242.2934,box 3,2
8.25:  72.26251,52.27872,242.2934,box 3,2
8.27:  72.26251,52.27872,242.2934,box 3,2
8.28:  72.26251,52.27872,242.2934,box 3,2
8.3:  72.26251,52.27872,242.2934,box 3,2
8.32:  72.26251,52.27872,242.2934,box 3,2
8.33:  72.26251,52.27872,242.2934,box 3,2
8.35:  72.26251,52.27872,242.2934,box 3,2
8.37:  72.26251,52.27872,242.2934,box 3,2
8.38:  72.26251,52.27872,242.2934,box 3,2
8.4:  72.26251,52.27872,242.2934,box 3,2
8.42:  72.26251,52.27872,242.2934,box 3,2
8.43:  72.26251,52.27872,242.2934,box 3,2
8.45:  72.26251,52.27872,242.2934,box 3,2
8.47:  72.26251,52.27872,242.2934,box 3,2
8.48:  72.26251,52.27872,242.2934,box 3,2
8.5:  72.26251,52.27872,242.2934,box 3,2
8.52:  72.26251,52.27872,240.7934,box 3,2
8.53:  72.26251,52.27872,239.2934,box 3,2
8.55:  72.26251,52.27872,237.7934,box 3,2
8.57:  72.26251,52.27872,236.2934,box 3,2
8.58:  72.26251,52.27872,234.7934,box 3,2
8.6:  72.26251,52.27872,233.2934,box 3,2
8.62:  72.26251,52.27872,231.7934,box 3,2
8.63:  72.26251,52.27872,230.2934,box 3,2
8.65:  72.26251,52.27872,228.7934,box 3,2
8.67:  72.26251,52.27872,227.2934,box 3,2
8.68:  72.26251,52.27872,225.7934,box 3,2
8.7:  72.26251,52.27872,224.2934,box 3,2
8.72:  72.26251,52.27872,222.7934,box 3,2
8.73:  72.26251,52.27872,221.2934,box 3,2
8.75:  72.26251,52.27872,219.7934,box 3,2
8.77:  72.26251,52.27872,218.2934,box 3,2
8.78:  72.26251,52.27872,216.7934,box 3,2
8.8:  72.26251,52.27872,215.2934,box 3,2
8.82:  72.26251,52.27872,213.7934,box 3,2
8.83:  72.26251,52.27872,212.2934,box 3,2
8.85:  72.26251,52.27872,210.7934,box 3,2
8.87:  72.26251,52.27872,209.2934,box 3,2
8.88:  72.26251,52.27872,207.7934,box 3,2
8.9:  72.26251,52.27872,206.2934,box 3,2
8.92:  72.26251,52.27872,204.7934,box 3,2
8.93:  72.26251,52.27872,203.2934,box 3,2
8.95:  72.26251,52.27872,201.7934,box 3,2
8.97:  72.26251,52.27872,200.2934,box 3,2
8.98:  72.26251,52.27872,198.7934,box 3,2
9:  72.26251,52.27872,197.2934,box 3,2
9.02:  72.26251,52.27872,195.7934,box 3,2
9.03:  72.26251,52.27872,194.2934,box 3,2
9.05:  72.26251,52.27872,192.7934,box 3,2
9.07:  72.26251,52.27872,191.2934,box 3,2
9.08:  72.26251,52.27872,189.7934,box 3,2
9.1:  72.26251,52.27872,188.2934,box 3,2
9.12:  72.26251,52.27872,186.7934,box 3,2
9.13:  72.26251,52.27872,185.2934,box 3,2
9.15:  72.26251,52.27872,183.7934,box 3,2
9.17:  72.26251,52.27872,182.2934,box 3,2
9.18:  72.26251,52.27872,180.7934,box 3,2
9.2:  72.26251,52.27872,179.2934,box 3,2
9.22:  72.26251,52.27872,177.7934,box 3,2
9.23:  72.26251,52.27872,176.2934,box 3,2
9.25:  72.26251,52.27872,174.7934,box 3,2
9.27:  72.26251,52.27872,173.2934,box 3,2
9.28:  72.26251,52.27872,171.7934,box 3,2
9.3:  72.26251,52.27872,170.2934,box 3,2
9.32:  72.26251,52.27872,168.7934,box 3,2
9.33:  72.26251,52.27872,167.2934,box 3,2
