ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
7.22:  66.67294,67.57343,57.40004,box 7,7
7.23:  66.99647,67.5304,57.40004,box 7,7
7.25:  67.32954,67.47694,57.30003,box 7,7
7.27:  67.66727,67.41455,57.10003,box 7,7
7.28:  68.01245,67.34216,57.00003,box 7,7
7.3:  68.35961,67.269,56.90003,box 7,7
7.32:  68.70652,67.19716,56.70003,box 7,7
7.33:  69.05096,67.12708,56.50003,box 7,7
7.35:  69.39899,67.05943,56.00003,box 7,7
7.37:  69.74696,66.99619,55.30003,box 7,7
7.38:  70.12476,66.93568,54.10003,box 7,7
7.4:  70.44623,66.88878,53.30003,box 7,7
7.42:  70.79659,66.84265,52.50003,box 7,7
7.43:  71.17898,66.79774,51.70003,box 7,7
7.45:  71.5298,66.76148,50.90003,box 7,7
7.47:  71.84861,66.73302,50.10003,box 7,7
7.48:  72.19819,66.70735,49.20003,box 7,7
7.5:  72.59495,66.68726,47.90003,box 7,7
7.52:  72.91168,66.68172,46.00003,box 7,7
7.53:  73.26524,66.69037,43.60003,box 7,7
7.55:  73.61537,66.71731,40.60003,box 7,7
7.57:  73.96461,66.76453,37.30003,box 7,7
7.58:  74.34254,66.85039,32.20003,box 7,7
7.6:  74.65358,66.93958,29.00003,box 7,7
7.62:  74.99214,67.05352,26.40002,box 7,7
7.64:  75.36332,67.19303,24.40003,box 7,7
7.65:  75.65227,67.30978,23.00003,box 7,7
7.67:  75.97607,67.44656,22.10003,box 7,7
7.69:  76.34245,67.60435,21.70003,box 7,7
7.7:  76.65228,67.73842,21.60003,box 7,7
7.72:  76.95352,67.86878,21.60003,box 7,7
7.74:  77.31388,68.02472,21.60003,box 7,7
7.75:  77.62031,68.15732,21.60003,box 7,7
7.77:  77.92231,68.28801,21.60003,box 7,7
7.78:  78.23959,68.4253,21.60003,box 7,7
7.8:  78.57245,68.56934,21.60003,box 7,7
7.82:  78.88879,68.70625,21.60003,box 7,7
7.84:  79.26176,68.86765,21.60003,box 7,7
7.85:  79.54694,68.99105,21.60003,box 7,7
7.87:  79.86827,69.1301,21.60003,box 7,7
7.88:  80.19478,69.27139,21.60003,box 7,7
7.9:  80.51783,69.41119,21.60003,box 7,7
7.92:  80.84564,69.55305,21.60003,box 7,7
7.93:  81.16653,69.69191,21.60003,box 7,7
7.95:  81.49066,69.83217,21.60003,box 7,7
7.97:  81.81467,69.97237,21.60003,box 7,7
7.98:  82.14198,70.1147,21.50003,box 7,7
8:  82.46983,70.25861,21.30003,box 7,6
8.02:  82.78245,70.39911,20.80003,box 7,6
8.03:  83.11131,70.55107,20.20003,box 7,6
8.05:  83.42793,70.70209,19.50003,box 7,6
8.07:  83.74817,70.86036,18.70003,box 7,6
8.08:  84.05435,71.01974,17.50003,box 7,6
8.1:  84.36681,71.19152,16.20003,box 7,6
8.12:  84.72999,71.40802,14.20003,box 7,6
8.13:  84.96917,71.55402,13.60003,box 7,6
8.15:  85.27253,71.74877,12.30003,box 7,6
8.17:  85.58656,71.97661,10.70003,box 7,6
