ParticipantNo: 11016
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_21
!!1_dsp1_21
8.28:  20.60249,115.5208,136.4,box 4,10
8.3:  20.67732,115.1982,136.4,box 4,10
8.32:  20.72519,114.9166,136.4,box 4,10
8.33:  20.75329,114.6755,136.4,box 4,10
8.35:  20.76848,114.3935,136.4,box 4,10
8.37:  20.76258,114.0708,136.4,box 4,10
8.38:  20.74471,113.8264,136.4,box 4,10
8.4:  20.69961,113.5129,136.4,box 4,10
8.42:  20.64097,113.2307,136.4,box 4,10
8.43:  20.56709,112.9572,136.4,box 4,10
8.45:  20.48867,112.7064,136.4,box 4,10
8.47:  20.4073,112.4045,136.4,box 4,10
8.48:  20.34503,112.1393,136.4,box 4,10
8.5:  20.28541,111.8397,136.4,box 4,10
8.52:  20.22973,111.4951,136.4,box 4,10
8.54:  20.18851,111.1786,136.4,box 4,10
8.55:  20.15717,110.872,136.4,box 4,10
8.57:  20.13307,110.5508,136.4,box 4,10
8.59:  20.11559,110.1604,136.4,box 4,10
8.6:  20.10806,109.8523,136.4,box 4,10
8.62:  20.09827,109.4516,136.4,box 4,10
8.63:  20.09013,109.1185,136.4,box 4,10
8.65:  20.07763,108.7778,137.1,box 4,10
8.67:  20.05388,108.4381,139,box 4,10
8.69:  19.99864,108.04,142.9,box 4,10
8.7:  19.93349,107.7017,145.9,box 4,10
8.72:  19.86284,107.3856,147.6,box 4,10
8.74:  19.75187,107.0157,151.7,box 4,10
8.75:  19.63993,106.6925,154.1,box 4,10
8.77:  19.52442,106.3992,156.5,box 4,10
8.79:  19.36272,106.0309,158.7,box 4,10
8.8:  19.21668,105.7585,163.2,box 4,10
8.82:  19.00929,105.4174,166.3,box 4,10
8.83:  18.83597,105.1614,169.1,box 4,10
8.85:  18.62642,104.8833,172,box 4,10
8.87:  18.40641,104.6106,173.9,box 4,10
8.88:  18.18043,104.3413,175,box 4,10
8.9:  17.95053,104.0683,175.1,box 4,10
8.92:  17.71601,103.7898,175.1,box 4,10
8.93:  17.49727,103.5301,175.1,box 4,10
8.95:  17.27006,103.2602,175.1,box 6,10
8.97:  17.02855,102.9734,175.1,box 6,10
8.98:  16.81397,102.7186,175.1,box 6,10
9:  16.57421,102.4339,175.1,box 6,10
